Review,Sentiment,Rating
Perfect amazing delicious clean comfortable.,Positive,4.6
Noisy terrible dirty uncomfortable rude slow dirty smelly cold slow.,Negative,1.7
Noisy worst smelly uncomfortable rude terrible smelly uncomfortable.,Negative,1.4
Helpful helpful comfortable delicious clean.,Positive,4.1
Clean amazing friendly excellent excellent.,Positive,4.1
Amazing amazing amazing delicious clean perfect spacious delicious helpful perfect.,Positive,4.9
Cold bad bad slow cold.,Negative,1.4
Standard standard normal mediocre okay okay.,Neutral,3.4
Average decent mediocre average standard mediocre typical typical.,Neutral,3.7
Amazing friendly excellent excellent comfortable excellent perfect.,Positive,4.6
Mediocre normal satisfactory regular normal average.,Neutral,3.7
Regular decent decent mediocre mediocre regular mediocre.,Neutral,3.1
Bad terrible worst terrible slow dirty terrible.,Negative,2.4
Delicious comfortable friendly clean excellent spacious excellent amazing great comfortable.,Positive,4.1
Smelly slow bad noisy dirty cold slow.,Negative,1.2
Normal normal fine standard satisfactory fine regular normal satisfactory mediocre.,Neutral,3.5
Standard regular satisfactory normal fine mediocre okay normal.,Neutral,3.8
Delicious excellent perfect amazing delicious spacious friendly amazing.,Positive,4.8
Regular normal mediocre decent standard.,Neutral,2.7
Dirty cold uncomfortable smelly uncomfortable.,Negative,1.4
Worst terrible noisy terrible slow smelly.,Negative,2.4
Helpful amazing friendly friendly clean comfortable amazing great great spacious.,Positive,4.3
Comfortable clean perfect helpful helpful excellent clean.,Positive,4.8
Average satisfactory typical average mediocre fine fine decent satisfactory.,Neutral,3.7
Slow smelly worst bad uncomfortable slow rude bad rude.,Negative,1.7
Mediocre regular normal standard satisfactory mediocre average.,Neutral,3.1
Worst bad uncomfortable rude terrible slow terrible terrible cold terrible.,Negative,1.7
Normal satisfactory standard normal standard.,Neutral,2.9
Clean amazing delicious spacious friendly clean.,Positive,4.9
Average fine regular average satisfactory.,Neutral,3.2
Typical mediocre satisfactory normal typical standard mediocre average.,Neutral,3.7
Slow slow terrible worst cold.,Negative,1.2
Satisfactory mediocre decent normal okay fine.,Neutral,3.9
Friendly comfortable great great clean excellent comfortable comfortable perfect.,Positive,4.4
Rude rude smelly dirty bad uncomfortable uncomfortable dirty uncomfortable uncomfortable.,Negative,1.1
Spacious helpful great great great helpful helpful.,Positive,4.0
Noisy cold bad worst dirty dirty rude.,Negative,2.1
Perfect clean helpful comfortable spacious spacious clean comfortable helpful amazing.,Positive,4.7
Rude worst terrible uncomfortable smelly smelly bad smelly worst.,Negative,2.2
Clean great helpful perfect comfortable excellent perfect clean excellent clean.,Positive,4.1
Okay decent standard satisfactory typical satisfactory.,Neutral,2.6
Spacious friendly comfortable excellent great excellent clean helpful comfortable.,Positive,4.5
Noisy smelly dirty smelly rude dirty noisy smelly slow.,Negative,1.6
Cold uncomfortable bad slow bad worst worst worst slow slow.,Negative,1.7
Decent standard standard satisfactory normal satisfactory fine okay mediocre average.,Neutral,3.9
Slow terrible worst noisy bad.,Negative,2.5
Delicious amazing clean excellent excellent spacious excellent perfect delicious amazing.,Positive,4.9
Fine normal average mediocre decent mediocre average mediocre decent typical.,Neutral,3.6
Standard average mediocre fine satisfactory standard satisfactory typical.,Neutral,3.1
Helpful helpful delicious friendly amazing friendly amazing excellent.,Positive,4.4
Okay mediocre typical okay typical okay mediocre.,Neutral,3.3
Slow smelly worst terrible noisy noisy.,Negative,2.2
Dirty noisy slow slow slow cold slow terrible.,Negative,1.1
Decent decent satisfactory normal typical regular normal average fine decent.,Neutral,3.2
